지점,지점명,일시,기온(°C)
108,서울,21-1-8 2:43,-17.2
108,서울,21-1-8 2:44,-17.1
108,서울,21-1-8 2:45,-17.1
108,서울,21-1-8 2:46,-17.2
108,서울,21-1-8 2:47,-17.1
108,서울,21-1-8 2:48,-17.1
108,서울,21-1-8 2:49,-17.1
108,서울,21-1-8 2:50,-17.1
108,서울,21-1-8 2:51,-17.1
108,서울,21-1-8 2:52,-17.1
108,서울,21-1-8 2:53,-17.2
108,서울,21-1-8 2:54,-17.2
108,서울,21-1-8 2:55,-17.2
108,서울,21-1-8 2:56,-17.2
108,서울,21-1-8 2:57,-17.2
108,서울,21-1-8 2:58,-17.2
108,서울,21-1-8 2:59,-17.2
108,서울,21-1-8 3:00,-17.2
108,서울,21-1-8 3:01,-17.2
108,서울,21-1-8 3:02,-17.2
108,서울,21-1-8 3:03,-17.2
108,서울,21-1-8 3:04,-17.2
108,서울,21-1-8 3:05,-17.2
108,서울,21-1-8 3:06,-17.3
108,서울,21-1-8 3:07,-17.3
108,서울,21-1-8 3:08,-17.3
108,서울,21-1-8 3:09,-17.3
108,서울,21-1-8 3:11,-17.3
108,서울,21-1-8 3:12,-17.3
108,서울,21-1-8 3:13,-17.3
108,서울,21-1-8 3:14,-17.3
108,서울,21-1-8 3:15,-17.3
108,서울,21-1-8 3:16,-17.3
108,서울,21-1-8 3:17,-17.3
108,서울,21-1-8 3:18,-17.3
108,서울,21-1-8 3:19,-17.3
108,서울,21-1-8 3:20,-17.3
108,서울,21-1-8 3:21,-17.3
108,서울,21-1-8 3:22,-17.3
108,서울,21-1-8 3:23,-17.4
108,서울,21-1-8 3:24,-17.4
108,서울,21-1-8 3:25,-17.4
108,서울,21-1-8 3:26,-17.4
108,서울,21-1-8 3:27,-17.4
108,서울,21-1-8 3:28,-17.4
108,서울,21-1-8 3:29,-17.4
108,서울,21-1-8 3:30,-17.4
108,서울,21-1-8 3:31,-17.4
108,서울,21-1-8 3:32,-17.4
108,서울,21-1-8 3:33,-17.4
108,서울,21-1-8 3:34,-17.4
108,서울,21-1-8 3:35,-17.4
108,서울,21-1-8 3:36,-17.4
108,서울,21-1-8 3:37,-17.4
108,서울,21-1-8 3:38,-17.4
108,서울,21-1-8 3:39,-17.4
108,서울,21-1-8 3:40,-17.4
108,서울,21-1-8 3:41,-17.4
108,서울,21-1-8 3:42,-17.4
108,서울,21-1-8 3:43,-17.4
108,서울,21-1-8 3:44,-17.4
108,서울,21-1-8 3:45,-17.4
108,서울,21-1-8 3:46,-17.4
108,서울,21-1-8 3:47,-17.4
108,서울,21-1-8 3:48,-17.5
108,서울,21-1-8 3:49,-17.5
108,서울,21-1-8 3:50,-17.5
108,서울,21-1-8 3:51,-17.5
108,서울,21-1-8 3:52,-17.5
108,서울,21-1-8 3:53,-17.5
108,서울,21-1-8 3:54,-17.5
108,서울,21-1-8 3:55,-17.5
108,서울,21-1-8 3:56,-17.6
108,서울,21-1-8 3:57,-17.5
108,서울,21-1-8 3:58,-17.5
108,서울,21-1-8 3:59,-17.5
108,서울,21-1-8 4:00,-17.5
108,서울,21-1-8 4:01,-17.5
108,서울,21-1-8 4:02,-17.5
108,서울,21-1-8 4:03,-17.5
108,서울,21-1-8 4:04,-17.5
108,서울,21-1-8 4:05,-17.6
108,서울,21-1-8 4:06,-17.6
108,서울,21-1-8 4:07,-17.6
108,서울,21-1-8 4:08,-17.6
108,서울,21-1-8 4:09,-17.6
108,서울,21-1-8 4:10,-17.6
108,서울,21-1-8 4:11,-17.6
108,서울,21-1-8 4:12,-17.6
108,서울,21-1-8 4:13,-17.6
108,서울,21-1-8 4:14,-17.6
108,서울,21-1-8 4:15,-17.6
108,서울,21-1-8 4:16,-17.6
108,서울,21-1-8 4:17,-17.6
108,서울,21-1-8 4:18,-17.6
108,서울,21-1-8 4:19,-17.6
108,서울,21-1-8 4:20,-17.6
108,서울,21-1-8 4:21,-17.6
108,서울,21-1-8 4:22,-17.6
108,서울,21-1-8 4:23,-17.6
108,서울,21-1-8 4:24,-17.6
108,서울,21-1-8 4:25,-17.6
108,서울,21-1-8 4:26,-17.6
108,서울,21-1-8 4:27,-17.6
108,서울,21-1-8 4:28,-17.6
108,서울,21-1-8 4:29,-17.6
108,서울,21-1-8 4:30,-17.6
108,서울,21-1-8 4:31,-17.6
108,서울,21-1-8 4:32,-17.6
108,서울,21-1-8 4:33,-17.6
108,서울,21-1-8 4:34,-17.7
108,서울,21-1-8 4:35,-17.7
108,서울,21-1-8 4:36,-17.7
108,서울,21-1-8 4:37,-17.7
108,서울,21-1-8 4:38,-17.7
108,서울,21-1-8 4:39,-17.8
108,서울,21-1-8 4:40,-17.8
108,서울,21-1-8 4:41,-17.8
108,서울,21-1-8 4:42,-17.8
108,서울,21-1-8 4:43,-17.8
108,서울,21-1-8 4:44,-17.8
108,서울,21-1-8 4:45,-17.8
108,서울,21-1-8 4:46,-17.8
108,서울,21-1-8 4:47,-17.8
108,서울,21-1-8 4:48,-17.8
108,서울,21-1-8 4:49,-17.8
108,서울,21-1-8 4:50,-17.8
108,서울,21-1-8 4:51,-17.8
108,서울,21-1-8 4:52,-17.8
108,서울,21-1-8 4:53,-17.9
108,서울,21-1-8 4:54,-17.9
108,서울,21-1-8 4:55,-17.9
108,서울,21-1-8 4:56,-17.9
108,서울,21-1-8 4:57,-17.8
108,서울,21-1-8 4:58,-17.8
108,서울,21-1-8 4:59,-17.8
108,서울,21-1-8 5:00,-17.8
108,서울,21-1-8 5:01,-17.8
108,서울,21-1-8 5:02,-17.8
108,서울,21-1-8 5:03,-17.8
108,서울,21-1-8 5:04,-17.7
108,서울,21-1-8 5:05,-17.7
108,서울,21-1-8 5:06,-17.7
108,서울,21-1-8 5:07,-17.7
108,서울,21-1-8 5:08,-17.7
108,서울,21-1-8 5:09,-17.7
108,서울,21-1-8 5:10,-17.7
108,서울,21-1-8 5:11,-17.7
108,서울,21-1-8 5:12,-17.8
108,서울,21-1-8 5:13,-17.8
108,서울,21-1-8 5:14,-17.8
108,서울,21-1-8 5:15,-17.8
108,서울,21-1-8 5:16,-17.8
108,서울,21-1-8 5:17,-17.8
108,서울,21-1-8 5:18,-17.8
108,서울,21-1-8 5:19,-17.8
108,서울,21-1-8 5:20,-17.8
108,서울,21-1-8 5:21,-17.8
108,서울,21-1-8 5:22,-17.8
108,서울,21-1-8 5:23,-17.8
108,서울,21-1-8 5:24,-17.8
108,서울,21-1-8 5:25,-17.8
108,서울,21-1-8 5:26,-17.8
108,서울,21-1-8 5:27,-17.8
108,서울,21-1-8 5:28,-17.8
108,서울,21-1-8 5:29,-17.8
108,서울,21-1-8 5:30,-17.8
108,서울,21-1-8 5:31,-17.8
108,서울,21-1-8 5:32,-17.8
108,서울,21-1-8 5:33,-17.8
108,서울,21-1-8 5:34,-17.8
108,서울,21-1-8 5:35,-17.8
108,서울,21-1-8 5:36,-17.8
108,서울,21-1-8 5:37,-17.8
108,서울,21-1-8 5:38,-17.8
108,서울,21-1-8 5:39,-17.8
108,서울,21-1-8 5:40,-17.8
108,서울,21-1-8 5:41,-17.8
108,서울,21-1-8 5:42,-17.9
108,서울,21-1-8 5:43,-17.9
108,서울,21-1-8 5:44,-17.9
108,서울,21-1-8 5:45,-17.9
108,서울,21-1-8 5:46,-17.9
108,서울,21-1-8 5:47,-17.9
108,서울,21-1-8 5:48,-17.9
108,서울,21-1-8 5:49,-17.9
108,서울,21-1-8 5:50,-17.9
108,서울,21-1-8 5:51,-17.9
108,서울,21-1-8 5:52,-17.9
108,서울,21-1-8 5:53,-17.9
108,서울,21-1-8 5:54,-17.9
108,서울,21-1-8 5:55,-17.9
108,서울,21-1-8 5:56,-17.9
108,서울,21-1-8 5:57,-17.9
108,서울,21-1-8 5:58,-17.9
108,서울,21-1-8 5:59,-17.9
108,서울,21-1-8 6:00,-17.8
108,서울,21-1-8 6:01,-17.8
