지점,지점명,일시,기온(°C)
108,서울,2021-01-09 00:01,-15.4
108,서울,2021-01-09 00:02,-15.4
108,서울,2021-01-09 00:03,-15.4
108,서울,2021-01-09 00:04,-15.4
108,서울,2021-01-09 00:05,-15.4
108,서울,2021-01-09 00:06,-15.4
108,서울,2021-01-09 00:07,-15.4
108,서울,2021-01-09 00:08,-15.4
108,서울,2021-01-09 00:09,-15.4
108,서울,2021-01-09 00:10,-15.4
108,서울,2021-01-09 00:11,-15.4
108,서울,2021-01-09 00:12,-15.4
108,서울,2021-01-09 00:13,-15.4
108,서울,2021-01-09 00:14,-15.5
108,서울,2021-01-09 00:15,-15.5
108,서울,2021-01-09 00:16,-15.4
108,서울,2021-01-09 00:17,-15.4
108,서울,2021-01-09 00:18,-15.4
108,서울,2021-01-09 00:19,-15.4
108,서울,2021-01-09 00:20,-15.4
108,서울,2021-01-09 00:21,-15.5
108,서울,2021-01-09 00:22,-15.5
108,서울,2021-01-09 00:23,-15.5
108,서울,2021-01-09 00:24,-15.5
108,서울,2021-01-09 00:25,-15.6
108,서울,2021-01-09 00:26,-15.6
108,서울,2021-01-09 00:27,-15.6
108,서울,2021-01-09 00:28,-15.6
108,서울,2021-01-09 00:29,-15.6
108,서울,2021-01-09 00:30,-15.5
108,서울,2021-01-09 00:31,-15.5
108,서울,2021-01-09 00:32,-15.5
108,서울,2021-01-09 00:33,-15.5
108,서울,2021-01-09 00:34,-15.5
108,서울,2021-01-09 00:35,-15.5
108,서울,2021-01-09 00:36,-15.5
108,서울,2021-01-09 00:37,-15.5
108,서울,2021-01-09 00:38,-15.5
108,서울,2021-01-09 00:39,-15.4
108,서울,2021-01-09 00:40,-15.4
108,서울,2021-01-09 00:41,-15.4
108,서울,2021-01-09 00:42,-15.3
108,서울,2021-01-09 00:43,-15.3
108,서울,2021-01-09 00:44,-15.2
108,서울,2021-01-09 00:45,-15.2
108,서울,2021-01-09 00:46,-15.1
108,서울,2021-01-09 00:47,-15.1
108,서울,2021-01-09 00:48,-15
108,서울,2021-01-09 00:49,-15
108,서울,2021-01-09 00:50,-15.1
108,서울,2021-01-09 00:51,-15.1
108,서울,2021-01-09 00:52,-15.1
108,서울,2021-01-09 00:53,-15.1
108,서울,2021-01-09 00:54,-15.1
108,서울,2021-01-09 00:55,-15.1
108,서울,2021-01-09 00:56,-15.2
108,서울,2021-01-09 00:57,-15.2
108,서울,2021-01-09 00:58,-15.2
108,서울,2021-01-09 00:59,-15.2
108,서울,2021-01-09 01:00,-15.3
108,서울,2021-01-09 01:01,-15.3
108,서울,2021-01-09 01:02,-15.3
108,서울,2021-01-09 01:03,-15.2
108,서울,2021-01-09 01:04,-15.2
108,서울,2021-01-09 01:05,-15.2
108,서울,2021-01-09 01:06,-15.1
108,서울,2021-01-09 01:07,-15.1
108,서울,2021-01-09 01:08,-15.1
108,서울,2021-01-09 01:09,-15.1
108,서울,2021-01-09 01:10,-15
108,서울,2021-01-09 01:11,-15
108,서울,2021-01-09 01:12,-15
108,서울,2021-01-09 01:13,-15.1
108,서울,2021-01-09 01:14,-15
108,서울,2021-01-09 01:15,-15
108,서울,2021-01-09 01:16,-15
108,서울,2021-01-09 01:17,-15
108,서울,2021-01-09 01:18,-15
108,서울,2021-01-09 01:19,-14.9
108,서울,2021-01-09 01:20,-14.9
108,서울,2021-01-09 01:21,-14.9
108,서울,2021-01-09 01:22,-14.9
108,서울,2021-01-09 01:23,-14.9
108,서울,2021-01-09 01:24,-14.9
108,서울,2021-01-09 01:25,-14.8
108,서울,2021-01-09 01:26,-14.8
108,서울,2021-01-09 01:27,-14.8
108,서울,2021-01-09 01:28,-14.8
108,서울,2021-01-09 01:29,-14.8
108,서울,2021-01-09 01:30,-14.7
108,서울,2021-01-09 01:31,-14.7
108,서울,2021-01-09 01:32,-14.7
108,서울,2021-01-09 01:33,-14.8
108,서울,2021-01-09 01:34,-14.8
108,서울,2021-01-09 01:35,-14.8
108,서울,2021-01-09 01:36,-14.8
108,서울,2021-01-09 01:37,-14.8
108,서울,2021-01-09 01:38,-14.8
108,서울,2021-01-09 01:39,-14.9
108,서울,2021-01-09 01:40,-14.9
108,서울,2021-01-09 01:41,-14.9
108,서울,2021-01-09 01:42,-14.9
108,서울,2021-01-09 01:43,-14.9
108,서울,2021-01-09 01:44,-14.9
108,서울,2021-01-09 01:45,-14.9
108,서울,2021-01-09 01:46,-15
108,서울,2021-01-09 01:47,-15
108,서울,2021-01-09 01:48,-15
108,서울,2021-01-09 01:49,-15
108,서울,2021-01-09 01:50,-15
108,서울,2021-01-09 01:51,-15
108,서울,2021-01-09 01:52,-15.1
108,서울,2021-01-09 01:53,-15.1
108,서울,2021-01-09 01:54,-15.1
108,서울,2021-01-09 01:55,-15.1
108,서울,2021-01-09 01:56,-15.1
108,서울,2021-01-09 01:57,-15.1
108,서울,2021-01-09 01:58,-15.1
108,서울,2021-01-09 01:59,-15.1
108,서울,2021-01-09 02:00,-15.1
108,서울,2021-01-09 02:01,-15.1
108,서울,2021-01-09 02:02,-15.1
108,서울,2021-01-09 02:03,-15.2
108,서울,2021-01-09 02:04,-15.2
108,서울,2021-01-09 02:05,-15.2
108,서울,2021-01-09 02:06,-15.2
108,서울,2021-01-09 02:07,-15.2
108,서울,2021-01-09 02:08,-15.3
108,서울,2021-01-09 02:09,-15.3
108,서울,2021-01-09 02:10,-15.3
108,서울,2021-01-09 02:11,-15.3
108,서울,2021-01-09 02:12,-15.3
108,서울,2021-01-09 02:13,-15.3
108,서울,2021-01-09 02:14,-15.3
108,서울,2021-01-09 02:15,-15.3
108,서울,2021-01-09 02:16,-15.3
108,서울,2021-01-09 02:17,-15.3
108,서울,2021-01-09 02:18,-15.3
108,서울,2021-01-09 02:19,-15.3
108,서울,2021-01-09 02:20,-15.3
108,서울,2021-01-09 02:21,-15.4
108,서울,2021-01-09 02:22,-15.4
108,서울,2021-01-09 02:23,-15.3
108,서울,2021-01-09 02:24,-15.3
108,서울,2021-01-09 02:25,-15.3
108,서울,2021-01-09 02:26,-15.3
108,서울,2021-01-09 02:27,-15.3
108,서울,2021-01-09 02:28,-15.3
108,서울,2021-01-09 02:29,-15.3
108,서울,2021-01-09 02:30,-15.3
108,서울,2021-01-09 02:31,-15.3
108,서울,2021-01-09 02:32,-15.2
108,서울,2021-01-09 02:33,-15.1
108,서울,2021-01-09 02:34,-15.1
108,서울,2021-01-09 02:35,-15.1
108,서울,2021-01-09 02:36,-15.1
108,서울,2021-01-09 02:37,-15.1
108,서울,2021-01-09 02:38,-15.1
108,서울,2021-01-09 02:39,-15.2
108,서울,2021-01-09 02:40,-15.2
108,서울,2021-01-09 02:41,-15.1
108,서울,2021-01-09 02:42,-15.1
108,서울,2021-01-09 02:43,-15
108,서울,2021-01-09 02:44,-15
108,서울,2021-01-09 02:45,-15
108,서울,2021-01-09 02:46,-15
108,서울,2021-01-09 02:47,-14.9
108,서울,2021-01-09 02:48,-14.9
108,서울,2021-01-09 02:49,-14.9
108,서울,2021-01-09 02:50,-14.9
108,서울,2021-01-09 02:51,-14.9
108,서울,2021-01-09 02:52,-14.9
108,서울,2021-01-09 02:53,-14.8
108,서울,2021-01-09 02:54,-14.8
108,서울,2021-01-09 02:55,-14.8
108,서울,2021-01-09 02:56,-14.8
108,서울,2021-01-09 02:57,-14.8
108,서울,2021-01-09 02:58,-14.8
108,서울,2021-01-09 02:59,-14.8
