지점,지점명,일시,기온(°C)
108,서울,2021-01-06 00:01,-10
108,서울,2021-01-06 00:02,-10
108,서울,2021-01-06 00:03,-10
108,서울,2021-01-06 00:04,-10
108,서울,2021-01-06 00:05,-10
108,서울,2021-01-06 00:06,-10
108,서울,2021-01-06 00:07,-10
108,서울,2021-01-06 00:08,-10
108,서울,2021-01-06 00:09,-10
108,서울,2021-01-06 00:10,-10
108,서울,2021-01-06 00:11,-10
108,서울,2021-01-06 00:12,-10
108,서울,2021-01-06 00:13,-10
108,서울,2021-01-06 00:14,-10
108,서울,2021-01-06 00:15,-10
108,서울,2021-01-06 00:16,-10.1
108,서울,2021-01-06 00:17,-10.1
108,서울,2021-01-06 00:18,-10.1
108,서울,2021-01-06 00:19,-10.1
108,서울,2021-01-06 00:20,-10.1
108,서울,2021-01-06 00:21,-10.1
108,서울,2021-01-06 00:22,-10.1
108,서울,2021-01-06 00:23,-10.1
108,서울,2021-01-06 00:24,-10.1
108,서울,2021-01-06 00:25,-10.1
108,서울,2021-01-06 00:26,-10.1
108,서울,2021-01-06 00:27,-10.1
108,서울,2021-01-06 00:28,-10.1
108,서울,2021-01-06 00:29,-10.1
108,서울,2021-01-06 00:30,-10.2
108,서울,2021-01-06 00:31,-10.2
108,서울,2021-01-06 00:32,-10.2
108,서울,2021-01-06 00:33,-10.2
108,서울,2021-01-06 00:34,-10.3
108,서울,2021-01-06 00:35,-10.3
108,서울,2021-01-06 00:36,-10.3
108,서울,2021-01-06 00:37,-10.3
108,서울,2021-01-06 00:38,-10.3
108,서울,2021-01-06 00:39,-10.3
108,서울,2021-01-06 00:40,-10.3
108,서울,2021-01-06 00:41,-10.3
108,서울,2021-01-06 00:42,-10.4
108,서울,2021-01-06 00:43,-10.4
108,서울,2021-01-06 00:44,-10.4
108,서울,2021-01-06 00:45,-10.3
108,서울,2021-01-06 00:46,-10.3
108,서울,2021-01-06 00:47,-10.3
108,서울,2021-01-06 00:48,-10.3
108,서울,2021-01-06 00:49,-10.3
108,서울,2021-01-06 00:50,-10.2
108,서울,2021-01-06 00:51,-10.3
