name,시장유형,소재지도로명주소,시장개설주기,lat,long,점포수,,,,,,,
인동시장,상설장+5일장,경상북도 구미시 인동중앙로5길 16-3,2일+7일,36.108198,128.4209296,126,,,,,,,
장천시장,상설장+5일장,경상북도 구미시 장천면 상장5길 4,5일+10일,36.12569981,128.493409,73,,,,,,,
제일시장상가,상설장,경상북도 구미시 1공단로 192,매일,36.101722,128.384107,47,,,,,,,
종합제일시장,상설장,경상북도 구미시 구미중앙로9길 7,매일,36.130316,128.329649,55,,,,,,,
해평공설시장,5일장,경상북도 구미시 해평면 해평시장3길 2,4일+9일,36.195962,128.392355,86,,,,,,,
현대유통쇼핑센타,상설장,경상북도 구미시 구미중앙로 61-6,매일,36.130024,128.330042,91,,,,,,,
형곡시장프라자,상설장,경상북도 구미시 형곡서로 121,매일,36.112882,128.334333,129,,,,,,,
형곡중앙시장,상설장,경상북도 구미시 형곡로 186,매일,36.106318,128.336516,76,,,,,,,
군위전통시장,상설장+5일장,경상북도 군위군 군위읍 중앙6길 4,3일+8일,36.239752,128.567929,61,,,,,,,
의흥시장,5일장,경상북도 군위군 의흥면 읍내5길 7,5일+10일,36.174253,128.716305,35,,,,,,,
평화시장,상설장+5일장,경상북도 김천시 김천로 100,5일+10일,36.123641,128.1130801,117,,,,,,,
황금시장,상설장+5일장,경상북도 김천시 황금시장4길 20,5일+10일,36.11665981,128.125283,186,,,,,,,
(유)문경시중앙시장,상설장,경상북도 문경시 중앙로 87,매일,36.593536,128.197342,38,,,,,,,
가은아자개시장,상설장+5일장,경상북도 문경시 가은읍 가은5길 7,4일+9일,36.646609,128.060989,93,,,,,,,
문경전통시장,상설장+5일장,경상북도 문경시 문경읍 문희로 41-15,2일+7일,36.735583,128.107479,80,,,,,,,
점촌전통시장 (구 신흥시장),상설장+5일장,경상북도 문경시 신흥시장길 19,3일+8일,36.601389,128.204163,107,,,,,,,
문경중앙시장,상설장,경상북도 문경시 신흥시장길 19,매일,36.601389,128.204163,135,,,,,,,
봉화상설시장,상설장+5일장,경상북도 봉화군 봉화읍 신시장1길 4,2일+7일,36.890136,128.735509,136,,,,,,,
봉화춘양시장(춘양시장),상설장+5일장,경상북도 봉화군 춘양면 의양로 60,4일+9일,36.936369,128.913044,134,,,,,,,
상주중앙시장,상설장+5일장,경상북도 상주시 남성로 35,2일+7일,36.413194,128.1608304,184,,,,,,,
은척시장,상설장+5일장,경상북도 상주시 은척면 봉중1길 16-1,4일+9일,36.532668,128.072955,24,,,,,,,
풍물시장,상설장+5일장,경상북도 상주시 풍물시장길 16,2일+7일,36.41284998,128.1606296,60,,,,,,,
함창시장,상설장+5일장,경상북도 상주시 함창읍 함창시장1길 45-6,1일+6일,36.567324,128.179144,50,,,,,,,
화령시장,상설장+5일장,경상북도 상주시 화서면 화령남6길 7,3일+8일,36.444791,127.950695,50,,,,,,,
성주시장,상설장+5일장,경상북도 성주군 성주읍 시장길 43,2일+7일,35.914466,128.285106,44,,,,,,,
구담공설시장,상설장+5일장,경상북도 안동시 풍천면 섬마길 7-9,4일+9일,36.541716,128.464613,110,,,,,,,
안동구시장,상설장,경상북도 안동시 번영1길 55,매일,36.565812,128.727874,266,,,,,,,
경산공설시장,상설장+5일장,경상북도 경산시 경안로31길 19,5일+10일,35.820519,128.735758,204,,,,,,,
자인공설시장,상설장+5일장,경상북도 경산시 자인면 자인로 206-4,3일+8일,35.816479,128.822971,60,,,,,,,
하양공설시장,상설장+5일장,경상북도 경산시 하양읍 대학로 1543,4일+9일,35.915632,128.819253,109,,,,,,,
감포시장,상설장+5일장,경상북도 경주시 감포읍 감포로 115,3일+8일,35.80411024,129.502014,51,,,,,,,
경주성동공설시장,상설장,경상북도 경주시 원화로281번길 11-11,매일,35.845546,129.2162805,587,,,,,,,
