name,lat,long,,,,,,,,,,,
사거리시장,35.427679,126.807263,,,,,,,,,,,
사창시장,35.260399,126.663071,,,,,,,,,,,
황룡시장,35.291685,126.7738898,,,,,,,,,,,
대덕읍전통시장(대덕시장),34.499438,126.887127,,,,,,,,,,,
정남진장흥토요시장,34.677272,126.9031396,,,,,,,,,,,
천관산관광시장,34.56276999,126.937079,,,,,,,,,,,
회진시장,34.482035,126.940318,,,,,,,,,,,
임회면십일시장,34.410989,126.192139,,,,,,,,,,,
진도상설시장,34.481354,126.264905,,,,,,,,,,,
진도읍조금시장,34.481479,126.256933,,,,,,,,,,,
나산시장,35.111836,126.609847,,,,,,,,,,,
월야시장,35.17926967,126.626779,,,,,,,,,,,
해보시장,35.181053,126.602552,,,,,,,,,,,
남리5일시장,34.575324,126.432484,,,,,,,,,,,
북평면남창5일시장,34.404536,126.626715,,,,,,,,,,,
송지산정5일시장,34.369647,126.519182,,,,,,,,,,,
우수영5일시장,34.809379,126.374239,,,,,,,,,,,
좌일5일시장,34.463855,126.672569,,,,,,,,,,,
해남읍5일시장,34.568785,126.597157,,,,,,,,,,,
화원5일시장,34.669496,126.328231,,,,,,,,,,,
능주전통시장,34.990914,126.959371,,,,,,,,,,,
이양전통시장,34.882485,126.987301,,,,,,,,,,,
화순전통시장(화순읍전통시장),35.059097,126.983399,,,,,,,,,,,
복내5일시장,34.89370035,127.133141,,,,,,,,,,,
조성5일시장,34.806479,127.245277,,,,,,,,,,,
괴목시장,35.102555,127.428225,,,,,,,,,,,
부산광역시철강판매협동조합,35.133204,128.966603,,,,,,,,,,,
순천시아랫장(순천아랫장),34.945147,127.49609,,,,,,,,,,,
승주시장,35.015675,127.3894901,,,,,,,,,,,
역전시장,34.943748,127.503331,,,,,,,,,,,
웃장,34.958646,127.485034,,,,,,,,,,,
중앙시장,34.953262,127.484603,,,,,,,,,,,
지도시장,35.058816,126.206982,,,,,,,,,,,
(주)서시장,34.741792,127.728616,,,,,,,,,,,
교동시장,34.739128,127.730129,,,,,,,,,,,
덕양시장,34.797962,127.632011,,,,,,,,,,,
도깨비시장,34.763319,127.656539,,,,,,,,,,,
봉산시장,34.732156,127.722412,,,,,,,,,,,
쌍봉시장,34.764148,127.664975,,,,,,,,,,,
여수서시장주변시장,34.740948,127.7285604,,,,,,,,,,,
여수수산물특화시장,34.736833,127.732889,,,,,,,,,,,
제일시장,34.764197,127.664652,,,,,,,,,,,
중앙선어시장,34.739451,127.736875,,,,,,,,,,,
중앙시장,34.740596,127.732565,,,,,,,,,,,
진남시장,34.764256,127.664123,,,,,,,,,,,
해안로건어물상가시장,34.739532,127.734527,,,,,,,,,,,
(주)여수수산시장,34.738142,127.731764,,,,,,,,,,,
영광고추특화시장,35.274728,126.493546,,,,,,,,,,,
굴비골영광시장(구 영광매일시장),35.275128,126.512323,,,,,,,,,,,
영광터미널시장,35.275536,126.5030195,,,,,,,,,,,
구림5일시장,34.762377,126.635342,,,,,,,,,,,
시종5일시장,34.867402,126.608099,,,,,,,,,,,
부강전통시장,36.528501,127.368882,,,,,,,,,,,
포방터시장,37.598671,126.948897,,,,,,,,,,,
송현자유시장,37.475902,126.633014,,,,,,,,,,,
정원시장,36.329106,127.431655,,,,,,,,,,,
연풍전통시장,36.764396,127.997624,,,,,,,,,,,
삼승원남시장(원남재래시장),36.396921,127.733145,,,,,,,,,,,
회인재래시장,36.490667,127.597779,,,,,,,,,,,
엄정내창시장,37.086396,127.915881,,,,,,,,,,,
광시시장,36.549118,126.774424,,,,,,,,,,,
마천전통시장,35.395649,127.662681,,,,,,,,,,,
영등포유통상가,37.522417,126.8939303,,,,,,,,,,,
고려쇼핑센터,35.163619,128.984183,,,,,,,,,,,
Team204,37.567713,127.013197,,,,,,,,,,,
문화의거리 행복상점가,36.596686,128.199258,,,,,,,,,,,
점촌역전상점가,36.595797,128.202312,,,,,,,,,,,
남성시장,36.414411,128.162107,,,,,,,,,,,
중곡제일시장(이오상사),37.563908,127.081301,,,,,,,,,,,
한아름시장,37.543959,127.069758,,,,,,,,,,,
칠성상가시장,35.875611,128.605314,,,,,,,,,,,
소래포구전통어시장,37.398195,126.739394,,,,,,,,,,,
하복대시장,36.635638,127.427467,,,,,,,,,,,
봉화내성시장,36.888982,128.739469,,,,,,,,,,,
거제읍내시장,34.850559,128.590311,,,,,,,,,,,
관악종합시장,37.481577,126.928063,,,,,,,,,,,
조양시장(건물형),37.538997,127.067489,,,,,,,,,,,
상계중앙시장,37.659049,127.070277,,,,,,,,,,,
신도봉시장,37.670015,127.041124,,,,,,,,,,,
중부시장,37.565063,127.001905,,,,,,,,,,,
테크노상가,37.568846,127.013238,,,,,,,,,,,
동원시장,37.589838,127.089893,,,,,,,,,,,
면목시장,37.579552,127.086299,,,,,,,,,,,
금광시장,37.450033,127.159906,,,,,,,,,,,
마로관기시장(관기재래시장),36.435243,127.817596,,,,,,,,,,,
연수상가,36.984783,127.933227,,,,,,,,,,,
공주산성시장,36.458818,127.122614,,,,,,,,,,,
금산인삼전통시장,36.100459,127.492185,,,,,,,,,,,
마전시장,36.190606,127.466976,,,,,,,,,,,
웅천시장,36.23299004,126.601268,,,,,,,,,,,
덕산시장,36.704977,126.668157,,,,,,,,,,,
지리산나들이장터,35.311471,127.4444997,,,,,,,,,,,
세종대평시장,36.467267,127.282059,,,,,,,,,,,
여주한글시장(여주중앙로상점가),37.297551,127.634289,,,,,,,,,,,
