지점,지점명,일시,일 미세먼지 농도(㎍/㎥)
108,서울,2013-09-10,73
108,서울,2013-09-12,41
108,서울,2013-09-13,23
108,서울,2013-09-15,28
108,서울,2013-09-16,29
108,서울,2013-09-17,26
108,서울,2013-09-18,44
108,서울,2013-09-19,43
108,서울,2013-09-20,44
108,서울,2013-09-21,34
108,서울,2013-09-22,19
108,서울,2013-09-23,28
108,서울,2013-09-24,29
108,서울,2013-09-25,21
108,서울,2013-09-26,23
108,서울,2013-09-27,36
108,서울,2013-09-28,46
108,서울,2013-09-29,16
108,서울,2013-09-30,10
108,서울,2013-10-01,23
108,서울,2013-10-02,36
108,서울,2013-10-03,24
108,서울,2013-10-04,37
108,서울,2013-10-05,26
108,서울,2013-10-06,13
108,서울,2013-10-07,16
108,서울,2013-10-08,17
108,서울,2013-10-09,19
108,서울,2013-10-10,30
108,서울,2013-10-11,27
108,서울,2013-10-12,27
108,서울,2013-10-13,37
108,서울,2013-10-14,37
108,서울,2013-10-15,28
108,서울,2013-10-16,19
108,서울,2013-10-18,27
108,서울,2013-10-19,22
108,서울,2013-10-20,19
108,서울,2013-10-21,14
108,서울,2013-10-22,17
108,서울,2013-10-23,20
108,서울,2013-10-24,40
108,서울,2013-10-25,46
108,서울,2013-10-26,45
108,서울,2013-10-27,49
108,서울,2013-10-28,56
108,서울,2013-10-29,62
108,서울,2013-10-30,31
108,서울,2013-10-31,44
108,서울,2013-11-01,50
108,서울,2013-11-02,45
108,서울,2013-11-03,53
108,서울,2013-11-04,52
108,서울,2013-11-05,55
108,서울,2013-11-06,59
108,서울,2013-11-07,45
108,서울,2013-11-08,25
108,서울,2013-11-09,28
108,서울,2013-11-10,18
108,서울,2013-11-11,33
108,서울,2013-11-12,23
108,서울,2013-11-13,39
108,서울,2013-11-14,47
108,서울,2013-11-15,70
108,서울,2013-11-16,77
108,서울,2013-11-18,18
108,서울,2013-11-19,25
108,서울,2013-11-20,24
108,서울,2013-11-21,25
108,서울,2013-11-22,62
108,서울,2013-11-23,106
108,서울,2013-11-24,93
108,서울,2013-11-25,22
108,서울,2013-11-26,29
108,서울,2013-11-27,24
108,서울,2013-11-28,60
108,서울,2013-11-29,52
108,서울,2013-11-30,49
108,서울,2013-12-01,58
108,서울,2013-12-02,66
108,서울,2013-12-03,85
108,서울,2013-12-04,116
108,서울,2013-12-05,130
108,서울,2013-12-06,30
108,서울,2013-12-07,34
108,서울,2013-12-08,43
108,서울,2013-12-09,36
108,서울,2013-12-10,43
108,서울,2013-12-14,31
108,서울,2013-12-15,35
108,서울,2013-12-16,55
108,서울,2013-12-17,51
108,서울,2013-12-18,29
108,서울,2013-12-19,37
108,서울,2013-12-20,96
108,서울,2013-12-21,86
108,서울,2013-12-22,45
108,서울,2013-12-23,38
108,서울,2013-12-24,69
108,서울,2013-12-25,78
108,서울,2013-12-26,65
108,서울,2013-12-27,52
108,서울,2013-12-28,21
108,서울,2013-12-29,30
108,서울,2013-12-30,86
108,서울,2013-12-31,114
108,서울,2014-01-01,125
108,서울,2014-01-02,56
108,서울,2014-01-03,59
108,서울,2014-01-04,51
108,서울,2014-01-05,45
108,서울,2014-01-06,69
108,서울,2014-01-07,85
108,서울,2014-01-08,71
108,서울,2014-01-09,22
108,서울,2014-01-10,35
108,서울,2014-01-11,52
108,서울,2014-01-12,63
108,서울,2014-01-13,34
108,서울,2014-01-14,46
108,서울,2014-01-15,56
108,서울,2014-01-16,110
108,서울,2014-01-17,120
108,서울,2014-01-18,64
108,서울,2014-01-19,50
108,서울,2014-01-20,66
108,서울,2014-01-21,115
108,서울,2014-01-22,95
108,서울,2014-01-23,57
108,서울,2014-01-24,62
108,서울,2014-01-25,49
108,서울,2014-01-26,38
108,서울,2014-01-27,41
108,서울,2014-01-28,32
108,서울,2014-01-29,40
108,서울,2014-01-31,23
108,서울,2014-02-01,24
108,서울,2014-02-02,21
108,서울,2014-02-03,70
108,서울,2014-02-04,44
108,서울,2014-02-05,47
108,서울,2014-02-06,46
108,서울,2014-02-07,15
108,서울,2014-02-08,12
108,서울,2014-02-09,22
108,서울,2014-02-10,24
108,서울,2014-02-11,18
108,서울,2014-02-12,22
108,서울,2014-02-13,23
108,서울,2014-02-14,18
108,서울,2014-02-15,30
108,서울,2014-02-16,58
108,서울,2014-02-17,82
108,서울,2014-02-18,23
108,서울,2014-02-19,31
108,서울,2014-02-20,65
108,서울,2014-02-21,65
108,서울,2014-02-22,97
108,서울,2014-02-23,107
108,서울,2014-02-24,164
108,서울,2014-02-25,179
108,서울,2014-02-26,132
108,서울,2014-02-27,116
108,서울,2014-02-28,115
108,서울,2014-03-01,94
108,서울,2014-03-02,35
108,서울,2014-03-03,60
108,서울,2014-03-04,86
108,서울,2014-03-06,36
108,서울,2014-03-07,34
108,서울,2014-03-08,45
108,서울,2014-03-09,40
108,서울,2014-03-10,42
108,서울,2014-03-11,52
108,서울,2014-03-12,40
108,서울,2014-03-13,45
108,서울,2014-03-14,63
108,서울,2014-03-15,102
108,서울,2014-03-16,100
108,서울,2014-03-17,63
108,서울,2014-03-18,141
108,서울,2014-03-19,131
108,서울,2014-03-20,70
108,서울,2014-03-21,33
108,서울,2014-03-22,60
108,서울,2014-03-23,83
108,서울,2014-03-24,54
108,서울,2014-03-25,58
108,서울,2014-03-26,67
108,서울,2014-03-27,93
108,서울,2014-03-28,115
108,서울,2014-03-29,51
108,서울,2014-03-30,39
108,서울,2014-03-31,70
